workerid,img_order,kind,selection,id,type,order,language,enjoyment,gender,age,problems,comments,asses,fairprice,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,"[u'bad', u'good']",critical,competitor,mouse,looks like,1,english,2,Female,54,no,interesting! Enjoyed that.,Yes,0.85,3,Mac,1440,2560,Chrome,33QQ60S6ASH6UN6HEVDUCXFBE4XU00,3F1QRTWYOPGKYJNR7H2JXH5ZOC6LY0,Take part in a linguistics experiment!,Click on images given things you read.,language research stanford fun cognitive science university explanations,$0.85,Wed Nov 28 09:47:27 PST 2018,30,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Dec 28 09:47:27 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=33QQ60S6ASH6UN6HEVDUCXFBE4XU00,337RC3OW061MRIIXYGEKUM565WVVLF,0,Submitted,Thu Nov 29 02:31:38 PST 2018,Wed Nov 28 09:47:32 PST 2018,Wed Nov 28 09:51:38 PST 2018,,,,,,[],"""target""",2.9033333333333333
0,"[u'bad', u'good']",critical,competitor,cake,looks like,2,english,2,Female,54,no,interesting! Enjoyed that.,Yes,0.85,3,Mac,1440,2560,Chrome,33QQ60S6ASH6UN6HEVDUCXFBE4XU00,3F1QRTWYOPGKYJNR7H2JXH5ZOC6LY0,Take part in a linguistics experiment!,Click on images given things you read.,language research stanford fun cognitive science university explanations,$0.85,Wed Nov 28 09:47:27 PST 2018,30,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Dec 28 09:47:27 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=33QQ60S6ASH6UN6HEVDUCXFBE4XU00,337RC3OW061MRIIXYGEKUM565WVVLF,0,Submitted,Thu Nov 29 02:31:38 PST 2018,Wed Nov 28 09:47:32 PST 2018,Wed Nov 28 09:51:38 PST 2018,,,,,,[],"""target""",2.9033333333333333
0,"[u'good', u'bad']",critical,target,baseball,looks like,3,english,2,Female,54,no,interesting! Enjoyed that.,Yes,0.85,3,Mac,1440,2560,Chrome,33QQ60S6ASH6UN6HEVDUCXFBE4XU00,3F1QRTWYOPGKYJNR7H2JXH5ZOC6LY0,Take part in a linguistics experiment!,Click on images given things you read.,language research stanford fun cognitive science university explanations,$0.85,Wed Nov 28 09:47:27 PST 2018,30,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Dec 28 09:47:27 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=33QQ60S6ASH6UN6HEVDUCXFBE4XU00,337RC3OW061MRIIXYGEKUM565WVVLF,0,Submitted,Thu Nov 29 02:31:38 PST 2018,Wed Nov 28 09:47:32 PST 2018,Wed Nov 28 09:51:38 PST 2018,,,,,,[],"""target""",2.9033333333333333
0,null,control,right,control_2,right,4,english,2,Female,54,no,interesting! Enjoyed that.,Yes,0.85,3,Mac,1440,2560,Chrome,33QQ60S6ASH6UN6HEVDUCXFBE4XU00,3F1QRTWYOPGKYJNR7H2JXH5ZOC6LY0,Take part in a linguistics experiment!,Click on images given things you read.,language research stanford fun cognitive science university explanations,$0.85,Wed Nov 28 09:47:27 PST 2018,30,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Dec 28 09:47:27 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=33QQ60S6ASH6UN6HEVDUCXFBE4XU00,337RC3OW061MRIIXYGEKUM565WVVLF,0,Submitted,Thu Nov 29 02:31:38 PST 2018,Wed Nov 28 09:47:32 PST 2018,Wed Nov 28 09:51:38 PST 2018,,,,,,[],"""target""",2.9033333333333333
0,"[u'good', u'bad']",critical,competitor,hedgehog,looks like,5,english,2,Female,54,no,interesting! Enjoyed that.,Yes,0.85,3,Mac,1440,2560,Chrome,33QQ60S6ASH6UN6HEVDUCXFBE4XU00,3F1QRTWYOPGKYJNR7H2JXH5ZOC6LY0,Take part in a linguistics experiment!,Click on images given things you read.,language research stanford fun cognitive science university explanations,$0.85,Wed Nov 28 09:47:27 PST 2018,30,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Dec 28 09:47:27 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=33QQ60S6ASH6UN6HEVDUCXFBE4XU00,337RC3OW061MRIIXYGEKUM565WVVLF,0,Submitted,Thu Nov 29 02:31:38 PST 2018,Wed Nov 28 09:47:32 PST 2018,Wed Nov 28 09:51:38 PST 2018,,,,,,[],"""target""",2.9033333333333333
0,"[u'good', u'bad']",critical,target,rabbit,looks like,6,english,2,Female,54,no,interesting! Enjoyed that.,Yes,0.85,3,Mac,1440,2560,Chrome,33QQ60S6ASH6UN6HEVDUCXFBE4XU00,3F1QRTWYOPGKYJNR7H2JXH5ZOC6LY0,Take part in a linguistics experiment!,Click on images given things you read.,language research stanford fun cognitive science university explanations,$0.85,Wed Nov 28 09:47:27 PST 2018,30,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Dec 28 09:47:27 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=33QQ60S6ASH6UN6HEVDUCXFBE4XU00,337RC3OW061MRIIXYGEKUM565WVVLF,0,Submitted,Thu Nov 29 02:31:38 PST 2018,Wed Nov 28 09:47:32 PST 2018,Wed Nov 28 09:51:38 PST 2018,,,,,,[],"""target""",2.9033333333333333
0,"[u'good', u'bad']",critical,target,hammer,looks like,7,english,2,Female,54,no,interesting! Enjoyed that.,Yes,0.85,3,Mac,1440,2560,Chrome,33QQ60S6ASH6UN6HEVDUCXFBE4XU00,3F1QRTWYOPGKYJNR7H2JXH5ZOC6LY0,Take part in a linguistics experiment!,Click on images given things you read.,language research stanford fun cognitive science university explanations,$0.85,Wed Nov 28 09:47:27 PST 2018,30,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Dec 28 09:47:27 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=33QQ60S6ASH6UN6HEVDUCXFBE4XU00,337RC3OW061MRIIXYGEKUM565WVVLF,0,Submitted,Thu Nov 29 02:31:38 PST 2018,Wed Nov 28 09:47:32 PST 2018,Wed Nov 28 09:51:38 PST 2018,,,,,,[],"""target""",2.9033333333333333
0,"[u'good', u'bad']",critical,competitor,monkey,looks like,8,english,2,Female,54,no,interesting! Enjoyed that.,Yes,0.85,3,Mac,1440,2560,Chrome,33QQ60S6ASH6UN6HEVDUCXFBE4XU00,3F1QRTWYOPGKYJNR7H2JXH5ZOC6LY0,Take part in a linguistics experiment!,Click on images given things you read.,language research stanford fun cognitive science university explanations,$0.85,Wed Nov 28 09:47:27 PST 2018,30,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Dec 28 09:47:27 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=33QQ60S6ASH6UN6HEVDUCXFBE4XU00,337RC3OW061MRIIXYGEKUM565WVVLF,0,Submitted,Thu Nov 29 02:31:38 PST 2018,Wed Nov 28 09:47:32 PST 2018,Wed Nov 28 09:51:38 PST 2018,,,,,,[],"""target""",2.9033333333333333
0,"[u'bad', u'good']",critical,target,panda,looks like,9,english,2,Female,54,no,interesting! Enjoyed that.,Yes,0.85,3,Mac,1440,2560,Chrome,33QQ60S6ASH6UN6HEVDUCXFBE4XU00,3F1QRTWYOPGKYJNR7H2JXH5ZOC6LY0,Take part in a linguistics experiment!,Click on images given things you read.,language research stanford fun cognitive science university explanations,$0.85,Wed Nov 28 09:47:27 PST 2018,30,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Dec 28 09:47:27 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=33QQ60S6ASH6UN6HEVDUCXFBE4XU00,337RC3OW061MRIIXYGEKUM565WVVLF,0,Submitted,Thu Nov 29 02:31:38 PST 2018,Wed Nov 28 09:47:32 PST 2018,Wed Nov 28 09:51:38 PST 2018,,,,,,[],"""target""",2.9033333333333333
0,null,control,right,control_4,right,10,english,2,Female,54,no,interesting! Enjoyed that.,Yes,0.85,3,Mac,1440,2560,Chrome,33QQ60S6ASH6UN6HEVDUCXFBE4XU00,3F1QRTWYOPGKYJNR7H2JXH5ZOC6LY0,Take part in a linguistics experiment!,Click on images given things you read.,language research stanford fun cognitive science university explanations,$0.85,Wed Nov 28 09:47:27 PST 2018,30,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Dec 28 09:47:27 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=33QQ60S6ASH6UN6HEVDUCXFBE4XU00,337RC3OW061MRIIXYGEKUM565WVVLF,0,Submitted,Thu Nov 29 02:31:38 PST 2018,Wed Nov 28 09:47:32 PST 2018,Wed Nov 28 09:51:38 PST 2018,,,,,,[],"""target""",2.9033333333333333
